comm_i,comm_j,n_companies,exit_rate,failure_rate,ipo_rate,ma_rate,survival_rate,avg_capital,avg_rounds,risk_adjusted
1,7,870,6.321839080459771,4.827586206896552,1.3793103448275863,4.942528735632184,88.85057471264368,16.945642877825524,8.149425287356323,1.4942528735632195
1,14,279,11.11111111111111,5.376344086021505,3.225806451612903,7.885304659498208,83.51254480286738,26.30577725831323,7.580645161290323,5.734767025089606
1,19,69,7.246376811594203,1.4492753623188406,4.3478260869565215,2.898550724637681,91.30434782608697,58.23915258075259,6.550724637681159,5.797101449275362
7,14,366,8.743169398907105,4.098360655737705,2.73224043715847,6.0109289617486334,87.1584699453552,32.75836296552017,7.043715846994536,4.6448087431694
7,19,69,20.28985507246377,2.898550724637681,13.043478260869565,7.246376811594203,76.81159420289855,134.18566369338546,6.869565217391305,17.39130434782609
14,19,36,19.444444444444446,2.7777777777777777,11.11111111111111,8.333333333333332,77.77777777777779,112.68866257816258,6.611111111111111,16.666666666666668
5,7,355,7.323943661971831,4.507042253521127,1.6901408450704223,5.633802816901409,88.16901408450704,18.554447691485947,9.591549295774648,2.816901408450704
5,13,86,5.813953488372093,5.813953488372093,0.0,5.813953488372093,88.37209302325581,42.96901041920401,9.151162790697674,0.0
5,19,33,18.181818181818183,0.0,9.090909090909092,9.090909090909092,81.81818181818181,127.15915731292519,5.0,18.181818181818183
7,13,149,11.409395973154362,2.013422818791946,4.697986577181208,6.7114093959731544,86.5771812080537,55.13429997944351,9.06711409395973,9.395973154362416
13,19,15,33.33333333333333,0.0,20.0,13.333333333333334,66.66666666666667,211.6687179487179,6.4,33.33333333333333
5,11,77,9.090909090909092,3.896103896103896,0.0,9.090909090909092,87.01298701298701,13.956540413533839,10.090909090909092,5.194805194805196
5,14,127,9.448818897637794,3.937007874015748,0.7874015748031495,8.661417322834646,86.61417322834644,20.349551597819744,8.338582677165354,5.511811023622046
11,13,35,8.571428571428571,5.714285714285714,2.857142857142857,5.714285714285714,85.71428571428571,57.735578548085904,11.485714285714286,2.8571428571428568
11,14,62,6.451612903225806,3.225806451612903,0.0,6.451612903225806,90.3225806451613,18.394289401906335,8.338709677419354,3.225806451612903
13,14,83,6.024096385542169,2.4096385542168677,3.614457831325301,2.4096385542168677,91.56626506024097,42.8144246697078,9.168674698795181,3.6144578313253013
7,10,154,7.792207792207792,2.5974025974025974,1.2987012987012987,6.493506493506493,89.6103896103896,20.44432381471107,7.987012987012987,5.194805194805195
10,14,69,10.144927536231885,2.898550724637681,1.4492753623188406,8.695652173913043,86.95652173913044,32.329576855511625,7.405797101449275,7.246376811594203
10,19,17,17.647058823529413,0.0,11.76470588235294,5.88235294117647,82.35294117647058,110.57936243386244,6.588235294117647,17.647058823529413
3,6,548,3.64963503649635,4.744525547445255,0.18248175182481752,3.4671532846715327,91.6058394160584,9.115947813092063,8.549270072992702,-1.0948905109489049
3,7,881,6.015891032917139,4.426787741203178,1.2485811577752552,4.767309875141884,89.55732122587968,15.742312291047615,7.32122587968218,1.5891032917139611
3,11,153,4.57516339869281,5.228758169934641,0.0,4.57516339869281,90.19607843137256,12.700670916985061,8.339869281045752,-0.6535947712418304
3,13,99,10.1010101010101,2.0202020202020203,3.0303030303030303,7.07070707070707,87.87878787878788,36.25678294343046,9.313131313131313,8.08080808080808
6,7,619,4.846526655896607,3.392568659127625,0.6462035541195477,4.20032310177706,91.76090468497577,10.612381999203073,9.166397415185784,1.453957996768982
6,11,117,4.273504273504273,4.273504273504273,0.8547008547008548,3.418803418803419,91.45299145299145,11.681248230272145,10.034188034188034,0.0
6,13,72,9.722222222222223,5.555555555555555,1.3888888888888888,8.333333333333332,84.72222222222221,29.116873808507613,10.277777777777779,4.166666666666668
7,11,200,6.5,4.0,1.0,5.5,89.5,14.899996709239133,8.875,2.5
0,1,321,4.984423676012461,4.049844236760125,0.6230529595015576,4.361370716510903,90.96573208722741,8.202333800356524,10.246105919003115,0.9345794392523361
0,3,308,5.194805194805195,3.2467532467532463,0.974025974025974,4.220779220779221,91.55844155844156,9.400816025759694,10.042207792207792,1.9480519480519485
