community_id,num_investors,num_co_deals,pct_GVC,pct_CVC,pct_IVC,pct_Impact_VC,pct_Bank_VC,pct_Angel_Network,pct_Other,pct_GREEN_VC,pct_ESG_ALIGNED,pct_TRADITIONAL,avg_degree,avg_betweenness,avg_eigenvector,avg_novelty,herfindahl,exit_rate,failure_rate,cluster,cluster_label
7,1836,1525,31.154684095860567,2.9956427015250546,29.68409586056645,2.6143790849673203,0.3812636165577342,0.5991285403050108,31.5359477124183,52.94117647058824,2.287581699346405,44.771241830065364,28.71677559912854,0.0003409428596607573,0.005776860518586736,0.426562751495378,0.6106779972551711,7.6450892857142865,5.301339285714286,1,Exit-Oriented
3,1637,905,28.466707391569944,1.0995723885155773,32.68173488087966,1.832620647525962,0.2443494196701283,1.1606597434331094,33.292608430054976,51.496640195479536,2.810018326206475,45.69334147831399,24.30421502748931,0.00022069386839814983,0.0036954973501358342,0.4243428661616162,0.5368579081632653,5.689993459777633,6.540222367560497,1,Exit-Oriented
4,1617,1007,49.35064935064935,1.051329622758194,20.531849103277676,1.5460729746444033,0.4329004329004329,1.2987012987012987,24.922696351267778,65.36796536796537,1.7934446505875077,32.83858998144712,12.437847866419295,0.00012388511990746285,0.0005367185847153792,0.42338552089464393,0.583186800050088,6.513647642679901,7.94044665012407,0,Mixed Bridge
19,1570,850,61.71974522292993,1.1464968152866242,7.261146496815287,0.12738853503184713,0.06369426751592357,0.0,29.363057324840764,61.0828025477707,0.445859872611465,38.47133757961784,11.445222929936305,0.00019072449656384356,7.753553731901424e-05,0.3987994296577947,0.570501484249571,10.08230452674897,1.440329218106996,0,Mixed Bridge
1,1541,1075,32.446463335496425,1.6223231667748215,27.44970798182998,3.17975340687865,0.0,1.1031797534068788,33.09539260220636,55.80791693705386,1.881894873458793,42.31018818948735,22.91628812459442,0.0003035935696833756,0.0032292513126202893,0.42107756001959823,0.4387901262104835,6.559083810515356,7.912545549193128,1,Exit-Oriented
5,1038,597,55.78034682080924,1.0597302504816954,14.258188824662813,2.119460500963391,1.2524084778420037,1.1560693641618496,23.50674373795761,66.76300578034682,1.7341040462427744,31.502890173410403,10.572254335260116,0.0001301476030215941,0.00035424239808377135,0.4265078138718174,0.5604938587204595,7.323943661971831,7.605633802816901,0,Mixed Bridge
6,1001,564,37.56243756243756,0.5994005994005994,20.87912087912088,3.4965034965034967,0.0999000999000999,4.195804195804196,30.96903096903097,53.74625374625375,2.097902097902098,44.15584415584416,12.876123876123875,0.00012212927023624742,0.0008311180502209885,0.42767699248120306,0.5830218728822424,4.410585404971933,5.854049719326383,2,High-Risk Frontier
10,924,364,42.857142857142854,0.6493506493506493,21.1038961038961,1.5151515151515151,0.21645021645021645,1.406926406926407,31.601731601731604,55.086580086580085,1.2987012987012987,43.61471861471862,13.393939393939394,0.00011215286317251002,0.0005238555938817676,0.4172490272373541,0.44260407020850934,4.0,3.578947368421052,2,High-Risk Frontier
2,776,558,45.36082474226804,1.1597938144329898,18.814432989690722,2.448453608247423,0.0,2.0618556701030926,27.190721649484534,62.75773195876289,1.0309278350515463,36.21134020618557,11.408505154639176,0.00011245070421175816,0.0005596788233594623,0.4253508146639512,0.5864798839106151,3.6637931034482754,7.650862068965517,0,Mixed Bridge
14,728,319,26.923076923076923,2.197802197802198,37.362637362637365,1.3736263736263736,0.27472527472527475,1.2362637362637363,30.357142857142854,42.30769230769231,3.296703296703297,54.395604395604394,21.791208791208792,0.00018769092563018948,0.002209331149390278,0.41905803858520896,0.4892727279127316,8.5,5.5,1,Exit-Oriented
