cluster_label,n_communities,avg_green_pct,avg_gvc_pct,avg_novelty,exit_rate,failure_rate,avg_herfindahl,top_sector
Deep Green,1,77.77777777777779,66.66666666666666,0.45076,0.0,0.0,0.59375,Other
Exit-Oriented,7,48.80593754842698,31.363430335158746,0.42167182977422135,7.803362784757286,7.84924303741055,0.5334696426558337,Other
Government-Led,1,76.92307692307693,73.07692307692307,0.45262727272727266,2.380952380952381,16.666666666666664,0.5473372781065089,Other
High-Risk Frontier,11,55.9348451137321,43.002161033250225,0.42050161064622105,5.556466310591619,6.929011480390341,0.5006608585417612,Other
Mixed Bridge,10,63.19357429442508,51.008474784862194,0.42066623646512724,7.184816699183346,6.306391209939032,0.5959087874314236,Other
