comm_i,comm_j,n_companies,exit_rate,failure_rate,risk_adjusted,avg_capital,geo_comp,type_comp,green_comp,stage_comp,size_comp,same_geo
1,7,870.0,6.321839080459771,4.827586206896552,1.4942528735632195,16.945642877825524,0.24533443429665394,0.02098054023833688,0.028667404664656216,0.1093393156957237,37.37670585096018,1
1,14,279.0,11.11111111111111,5.376344086021505,5.734767025089606,26.30577725831323,0.3021264174973325,0.08708813226747329,0.13500224629361554,0.1225521649716121,54.17821885525011,0
1,19,69.0,7.246376811594203,1.4492753623188406,5.797101449275362,58.23915258075259,0.6188429706782926,0.28555733475049033,0.05274885610716837,0.13492467919293516,160.4479731255794,0
7,14,366.0,8.743169398907105,4.098360655737705,4.6448087431694,32.75836296552017,0.30850382604520166,0.06616804211313468,0.10633484162895933,0.06277613720194922,16.801513004289923,0
7,19,69.0,20.28985507246377,2.898550724637681,17.39130434782609,134.18566369338546,0.755888967494378,0.3054024884785218,0.08141626077182458,0.0665995708391785,123.07126727461923,0
14,19,36.0,19.444444444444446,2.7777777777777777,16.666666666666668,112.68866257816258,0.758285649323426,0.36736266001269924,0.1877511024007839,0.07634435814765378,106.2697542703293,0
5,7,355.0,7.323943661971831,4.507042253521127,2.816901408450704,18.554447691485947,0.5974671997778004,0.213740807877486,0.13821829309758576,0.19042542206705568,35.78351852057719,0
5,13,86.0,5.813953488372093,5.813953488372093,0.0,42.96901041920401,0.18758089238044656,0.047870953340446616,0.10147621164962203,0.16793907540370456,200.95536195098032,1
5,19,33.0,18.181818181818183,0.0,18.181818181818183,127.15915731292519,0.752436318786552,0.09690958942133322,0.05680203232576119,0.2029698209898734,158.85478579519642,0
7,13,149.0,11.409395973154362,2.013422818791946,9.395973154362416,55.13429997944351,0.4546723810064532,0.16700628158450706,0.03674208144796374,0.12105310937101725,165.17184343040313,0
13,19,15.0,33.33333333333333,0.0,33.33333333333333,211.6687179487179,0.7586862233949112,0.1440108777108218,0.04467417932386084,0.1278688132173766,42.1005761557839,0
5,11,77.0,9.090909090909092,3.896103896103896,5.194805194805196,13.956540413533839,0.6461808711522457,0.1054556665724566,0.1337809282096577,0.04833653276876628,12.364390802623497,0
5,14,127.0,9.448818897637794,3.937007874015748,5.511811023622046,20.349551597819744,0.34724974513184975,0.27783439815086813,0.2445531347265451,0.21450181297304544,52.58503152486711,1
11,13,35.0,8.571428571428571,5.714285714285714,2.8571428571428568,57.735578548085904,0.5815916010172726,0.057813382620069256,0.03230471656003566,0.14605276808166415,188.5909711483568,0
