community_id,n_deals,herfindahl,top_sector_1,top_sector_2,top_sector_3,pct_Renewable_Energy,pct_Battery_Storage,pct_Mobility_EV,pct_Carbon_Capture,pct_Sustainable_Agri,pct_Hydrogen,pct_Circular_Economy,pct_Energy_Efficiency,pct_Water,pct_Other
7.0,4040,0.6106779972551711,Other,Sustainable Agri,Mobility & EV,0.0,0.0,9.207920792079207,0.0,12.896039603960396,0.0,1.3861386138613863,0.0,0.0,76.50990099009901
1.0,3693,0.4387901262104835,Other,Sustainable Agri,Mobility & EV,0.0,0.0,6.769564040075819,0.0,34.90387219063093,0.0,2.4911995667479014,0.0,0.0,55.83536420254536
4.0,3358,0.583186800050088,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.236450268016677,0.0,16.79571173317451,0.0,1.846337105419893,0.0,0.0,74.12150089338893
3.0,2800,0.5368579081632653,Other,Sustainable Agri,Mobility & EV,0.0,0.0,9.964285714285715,0.0,18.21428571428571,0.0,1.5714285714285716,0.0,0.0,70.25
6.0,2729,0.5830218728822424,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.695126419934042,0.0,15.170392085012827,0.0,2.7482594356907293,0.0,0.0,74.38622205936241
2.0,2377,0.5864798839106151,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.320151451409338,0.0,15.523769457299116,0.0,2.566259991586033,0.0,0.0,74.58981909970551
5.0,2017,0.5604938587204595,Other,Sustainable Agri,Mobility & EV,0.0,0.0,8.180466038671295,0.0,17.798710956866636,0.0,1.7848289538919186,0.0,0.0,72.23599405057016
0.0,1678,0.6892343032811921,Other,Sustainable Agri,Mobility & EV,0.0,0.0,4.231227651966627,0.0,12.99165673420739,0.0,0.8939213349225268,0.0,0.0,81.88319427890346
19.0,1423,0.570501484249571,Other,Mobility & EV,Sustainable Agri,0.0,0.0,21.784961349262122,0.0,5.621925509486999,0.0,0.4919184820801124,0.0,0.0,72.10119465917076
14.0,1066,0.4892727279127316,Other,Sustainable Agri,Mobility & EV,0.0,0.0,14.165103189493433,0.0,17.72983114446529,0.0,1.9699812382739212,0.0,0.0,66.13508442776735
11.0,1025,0.5179459845330161,Other,Sustainable Agri,Mobility & EV,0.0,0.0,7.2195121951219505,0.0,22.926829268292686,0.0,2.048780487804878,0.0,0.0,67.8048780487805
