investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Pale Blue Dot Advisors,GREEN_VC,OTHER,0.0027636701400039865,169,42,105,57,True,16.991044020744507
Tribe Capital,ESG_ALIGNED,IVC,0.0027629443830677037,70,12,33,35,True,3.3818439248748695
Doral Energy-Tech Ventures,GREEN_VC,IVC,0.0027566765226829594,114,16,77,34,True,7.525726906924479
Hemisphere Ventures,TRADITIONAL,IVC,0.0027545722408730392,176,20,89,84,True,21.072477642678752
Wonder Ventures,TRADITIONAL,OTHER,0.002754023088408343,59,11,22,37,True,2.4070161792688918
Coöperatieve Rabobank,GREEN_VC,GVC,0.0027518341958802386,32,16,24,8,True,0.6191626940730537
Norrsken VC,GREEN_VC,IVC,0.002751006391479634,187,31,100,78,True,21.950279997616
FootPrint Coalition,GREEN_VC,CVC,0.002747540425393589,165,14,83,75,True,17.540298075712673
BHP Ventures,GREEN_VC,GVC,0.002742689880295208,164,24,106,54,True,16.140729945537295
FMO Entrepreneurial Development Bank,GREEN_VC,GVC,0.002740046513786066,29,10,25,4,True,0.3562060467921886
Incite Ventures,GREEN_VC,OTHER,0.002737411608979959,216,32,141,69,True,27.209871393260794
Green Generation Management,GREEN_VC,IVC,0.0026980154778268334,104,20,68,33,True,6.329544310981751
Happiness Capital,GREEN_VC,IVC,0.0026874977740391835,125,25,73,48,True,9.74486692866608
Boyu Capital,TRADITIONAL,OTHER,0.002680486183634129,39,7,20,16,True,0.956933567557384
QHZC Fund,GREEN_VC,GVC,0.0026658429989448213,53,4,31,22,True,1.9620604472233885
360 ONE,TRADITIONAL,OTHER,0.0026201628024265164,17,3,11,4,True,0.15720976814559098
Sustainable Food Ventures,GREEN_VC,IVC,0.0026006197303165414,118,34,83,35,True,7.864274064477222
Chevron Technology Ventures,TRADITIONAL,CVC,0.002595386410388453,227,38,140,83,True,30.73975664464084
OurCrowd,GREEN_VC,IVC,0.0025852140742685277,148,23,83,64,True,14.11526884550616
Shenzhen SME Venture Capital,GREEN_VC,GVC,0.0025776409143128845,14,4,12,2,True,0.1005279956582025
Powerhouse Ventures,GREEN_VC,OTHER,0.0025706573082732655,153,28,106,42,True,11.827594275365293
Planet A,GREEN_VC,Impact_VC,0.0025688633009124965,112,24,76,36,True,7.3186915442997025
Metaplanet Holdings,GREEN_VC,IVC,0.0025628388854766026,164,18,96,60,True,15.164317685365058
Sichuan Entrepreneur Fund,GREEN_VC,GVC,0.0025608505150820087,45,3,30,15,True,1.2701818554806763
Good Startup,GREEN_VC,OTHER,0.0025600152260856976,131,19,63,64,True,10.649663340516502
8090 Industries,GREEN_VC,IVC,0.0025543027075559167,152,14,76,72,True,14.357735519171808
United States Department of War,GREEN_VC,GVC,0.002547696057880376,24,50,19,5,True,0.30572352694564514
European Union,GREEN_VC,GVC,0.0025458848036851466,97,63,72,25,True,4.832089357394408
Grid Exponential,GREEN_VC,IVC,0.0025423366619630205,51,20,25,25,True,1.7186195834870017
Blackbird Ventures,TRADITIONAL,IVC,0.0025293828685514484,113,25,68,45,True,8.028261224782298
Rainmatter Capital,GREEN_VC,IVC,0.0025245425353052995,55,20,23,29,True,1.8176706254198156
Team Global Management,GREEN_VC,IVC,0.002515439061613067,58,10,31,27,True,2.253833399205308
Austin Technology Incubator,GREEN_VC,University_VC,0.0025050282553068905,14,17,10,4,True,0.137776554041879
Hong Kong X-Tech,GREEN_VC,GVC,0.002504272543287609,6,3,5,1,True,0.030051270519451306
The FSE Group,GREEN_VC,GVC,0.0024979738797135127,33,20,27,6,True,0.48960288042384853
Honeywell Ventures,GREEN_VC,CVC,0.002487847822368926,53,11,19,31,True,1.5922226063161127
PFR Ventures,GREEN_VC,GVC,0.0024863984796103136,17,5,9,8,True,0.22377586316492823
Andreessen Horowitz,TRADITIONAL,IVC,0.0024857651111872972,207,28,84,108,True,23.03061375515031
Mercy Corps,TRADITIONAL,GVC,0.0024691261442070828,41,8,29,9,True,0.7407378432621248
SK Gas,TRADITIONAL,GVC,0.0024555624709080006,37,5,20,16,True,0.8766358021141561
rpv,GREEN_VC,IVC,0.0024514108690372976,17,6,9,7,True,0.19611286952298382
Northstar Ventures,GREEN_VC,IVC,0.002448079879051322,24,9,16,8,True,0.37455622149485224
Earth Venture Capital,GREEN_VC,IVC,0.0024430737475776123,130,14,72,56,True,10.165629863670445
Impact Science Ventures,GREEN_VC,Impact_VC,0.002433466669056627,148,23,98,47,True,11.56383361135709
Overture Ventures,GREEN_VC,IVC,0.0024326350118260426,139,23,86,50,True,10.79360154747215
Arts et Métiers Business Angels,TRADITIONAL,OTHER,0.0024323291489487266,18,3,12,6,True,0.2213419525543341
Climate Investment,GREEN_VC,GVC,0.0024234649853178687,137,28,93,40,True,9.340034053415067
Pioneer Fund,GREEN_VC,IVC,0.002411151870605589,198,31,98,94,True,22.676883343045567
BMH Beteiligungs-Managementgesellschaft Hessen,TRADITIONAL,GVC,0.0024065581883744146,27,11,18,9,True,0.45724605579113875
SPIC Industrial Fund Management,GREEN_VC,GVC,0.0023996690442122173,48,19,29,19,True,1.4398014265273305
Schneider Electric,GREEN_VC,GVC,0.0023978006766146973,94,21,70,19,True,3.4048769607928704
Brian Frank,GREEN_VC,GVC,0.002396714585012069,32,2,15,14,True,0.5752115004028966
Shenzhen Yuto Packaging Technology,GREEN_VC,GVC,0.00239206206431302,10,2,9,1,True,0.047841241286260404
City Light Capital,GREEN_VC,GVC,0.002391318474645995,201,28,125,72,True,21.995347329793862
The Scottish National Investment Bank,GREEN_VC,GVC,0.0023766541156586686,30,8,20,10,True,0.5490071007171524
SWAN Impact Network,GREEN_VC,Impact_VC,0.0023717484037312094,54,19,32,22,True,1.8001570384319878
DiDi Global,GREEN_VC,GVC,0.0023635475420796304,22,6,8,14,True,0.3190789181807501
Cradle Fund,GREEN_VC,GVC,0.0023512078195384533,9,7,6,2,True,0.049375364210307526
Grains Valley Venture Capital,GREEN_VC,GVC,0.0023509411496508608,7,4,5,2,True,0.04231694069371549
Lenovo Capital and Incubator Group,GREEN_VC,CVC,0.002350595305281655,19,6,13,6,True,0.23035833991760218
British International Investment,GREEN_VC,GVC,0.002346733240966672,62,12,43,18,True,1.9618689894481378
Revent,GREEN_VC,Impact_VC,0.002338978012848053,85,20,59,23,True,3.3681283385011964
Katapult Group,GREEN_VC,Impact_VC,0.0023338743147372602,89,43,55,32,True,4.312999733634457
Prime Movers Lab,GREEN_VC,IVC,0.0023330392292261865,109,22,59,48,True,6.859135333924988
Auxxo,GREEN_VC,IVC,0.0023325024209102673,84,15,54,27,True,3.5920537282018117
IPO CLUB,TRADITIONAL,IVC,0.0023292139491412536,86,6,32,49,True,3.843203016083068
WARF Ventures,GREEN_VC,GVC,0.0023227679536379684,19,7,11,8,True,0.25085893899290057
Erik Peterson,TRADITIONAL,OTHER,0.002319487465983884,74,7,44,30,True,3.2356850150475185
Lotte Ventures,GREEN_VC,OTHER,0.0023145799020282036,52,18,30,22,True,1.6502954701461092
AngelCentral,TRADITIONAL,Angel_Network,0.002312064286347454,20,4,10,10,True,0.2797597786480419
kopa ventures,GREEN_VC,OTHER,0.0022906534399877976,84,21,54,29,True,3.779578175979866
