period,year_min,year_max,n_nodes,n_edges,density,green_green_edges,green_trad_edges,trad_trad_edges,pct_green_green,pct_green_trad,pct_trad_trad,assortativity
2012-2015 (pre-Paris),2012,2015,1262,2013,0.002529876547554264,805,829,335,39.99006458022851,41.182314952806756,16.641828117237953,0.10172353556215367
2016-2019 (Trump 1 era),2016,2019,6218,16364,0.0008466187478247967,5568,6999,3192,34.02591053532144,42.770716206306524,19.50623319481789,0.08523711444102221
2020-2022 (Biden/COVID),2020,2022,12928,69158,0.0008276435383153076,24705,29990,11302,35.72254836750629,43.3644697648862,16.342288672315565,0.048605706444128545
2023-2026 (recent),2023,2026,12708,68515,0.0008485851386342762,25845,28782,10335,37.721666788294534,42.00831934612859,15.084288112092242,0.05665294387896038
