year_month,CPU_US,CPU_UK,CPU_DEU,CPU_FRA,CPU_ESP,CPU_ITA,CPU_IRL,CPU_AUS,CPU_CAN,CPU_NZL,CPU_MEX,CPU_EU_avg,CPU_pos_US,CPU_neg_US,CPU_pos_UK,CPU_neg_UK,CPU_pos_AUS,CPU_neg_AUS,CPU_pos_CAN,CPU_neg_CAN
1990-01,19.71770739909631,,,,,,,,,,,,45.8217214011796,11.2741643639314,,,,,,
1990-02,56.76932446954146,,,,,,,,,,,,0.0,34.8932925455737,,,,,,
1990-03,79.96535851076086,,,,,,,,,,,,196.837562771728,87.86796073454708,,,,,,
1990-04,82.39339450829424,,,,,,,,,,,,0.0,88.73704462364611,,,,,,
1990-05,51.64840516576788,,,,,,,,,,,,43.66330842247235,10.74309957755779,,,,,,
1990-06,38.76875629055086,,,,,,,,,,,,0.0,13.8544672612681,,,,,,
1990-07,37.06057490150587,,,,,,,,,,,,0.0,23.54493994235396,,,,,,
1990-08,116.305685985901,,,,,,,,,,,,0.0,100.3412004943238,,,,,,
1990-09,67.73208020142094,,,,,,,,,,,,56.21489003501542,69.15671111591821,,,,,,
1990-10,22.92985076677797,,,,,,,,,,,,0.0,0.0,,,,,,
1990-11,34.29617339556865,,,,,,,,,,,,99.62553395852196,73.53682557180561,,,,,,
1990-12,35.64428815596933,,,,,,,,,,,,0.0,43.67280730084298,,,,,,
1991-01,120.9623511009991,,,,,,,,,,,,0.0,49.89870016553338,,,,,,
1991-02,41.59793444384119,,,,,,,,,,,,35.80329400765451,35.23675750881464,,,,,,
1991-03,99.45829052822614,,,,,,,,,,,,113.7802879387399,9.331656314740512,,,,,,
1991-04,81.91824082887956,,,,,,,,,,,,441.9082143171198,47.56574084297996,,,,,,
1991-05,54.37190893265895,,,,,,,,,,,,135.0114812950122,27.90070978952719,,,,,,
1991-06,67.84232462117008,,,,,,,,,,,,126.3000881523353,53.71477618130994,,,,,,
1991-07,64.07628863213631,,,,,,,,,,,,140.6044141945204,41.2438153927145,,,,,,
1991-08,48.65162114718194,,,,,,,,,,,,78.82730305410652,37.45959827046259,,,,,,
1991-09,45.72787596997745,,,,,,,,,,,,32.55579045903045,69.85666678329798,,,,,,
1991-10,74.54965152538244,,,,,,,,,,,,36.16856835138752,125.3631397949519,,,,,,
1991-11,133.6472730480432,,,,,,,,,,,,459.0734028193828,124.5318091290867,,,,,,
1991-12,59.57951916394697,,,,,,,,,,,,71.67008029054871,45.46463464562156,,,,,,
1992-01,64.35378151809581,,,,,,,,,,,,39.69698841852496,57.75181197779784,,,,,,
1992-02,86.44358470415094,,,,,,,,,,,,264.1944704652624,125.2169992191611,,,,,,
1992-03,161.7941435332251,,,,,,,,,,,,189.6203827392997,297.4379589743277,,,,,,
1992-04,47.22452734770982,,,,,,,,,,,,69.70962593811173,47.59212905927853,,,,,,
1992-05,91.3893130225205,,,,,,,,,,,,155.0153536126809,98.03315540581688,,,,,,
1992-06,128.0764760534946,,,,,,,,,,,,34.49535530542882,91.76922474070815,,,,,,
1992-07,102.6338082955882,,,,,,,,,,,,144.1058565942611,152.0960529712417,,,,,,
1992-08,66.85965784869987,,,,,,,,,,,,45.83558120678188,89.14215493275435,,,,,,
1992-09,87.8079376163759,,,,,,,,,,,,110.7455926447947,109.8754109227026,,,,,,
1992-10,93.84948298825768,,,,,,,,,,,,71.80139251589382,126.7846175604411,,,,,,
1992-11,40.74552858050244,,,,,,,,,,,,34.18605842991068,72.42291186361413,,,,,,
1992-12,79.68333732419957,,,,,,,,,,,,216.4751901137883,77.40776932153983,,,,,,
1993-01,106.8364133241671,,,,,,,,,,,,44.07509249102071,75.44238367985048,,,,,,
1993-02,102.0385951837678,,,,,,,,,,,,145.5338792792237,101.0909716208284,,,,,,
1993-03,87.3818119509153,,,,,,,,,,,,162.8579484706367,56.17815527228672,,,,,,
1993-04,115.4393060006807,,,,,,,,,,,,70.11581935433797,34.64381850946031,,,,,,
1993-05,94.96944916369571,,,,,,,,,,,,137.045636744118,109.2736071102051,,,,,,
1993-06,120.6274473334177,,,,,,,,,,,,34.66102768082368,132.8427274406681,,,,,,
1993-07,64.0141470193688,,,,,,,,,,,,237.8281131257555,63.87505884990954,,,,,,
1993-08,108.197216153088,,,,,,,,,,,,251.8059687990139,155.4296883655984,,,,,,
1993-09,85.71758891394016,,,,,,,,,,,,204.4211009651266,47.79735176650664,,,,,,
1993-10,48.42820760054756,,,,,,,,,,,,41.36295368943627,39.7734266033505,,,,,,
1993-11,92.81833057354036,,,,,,,,,,,,245.9166089025218,66.46669550127785,,,,,,
1993-12,63.32825958190105,,,,,,,,,,,,77.18632214637206,55.89265359595374,,,,,,
1994-01,78.9499507842602,,,,,,,,,,,,35.51384734256627,45.77409044310286,,,,,,
1994-02,84.10600336087104,,,,,,,,,,,,0.0,0.0,,,,,,
1994-03,74.92747138205809,,,,,,,,,,,,37.21432622084752,27.76374965863875,,,,,,
1994-04,46.07166627188768,,,,,,,,,,,,0.0,10.16033562109912,,,,,,
1994-05,82.18095988935882,,,,,,,,,,,,163.3897689419533,101.312973677834,,,,,,
1994-06,79.52099383421891,,,,,,,,,,,,42.72705109834322,67.17174231418089,,,,,,
1994-07,11.8475556791961,,,,,,,,,,,,0.0,11.0449827083925,,,,,,
1994-08,62.40793614191187,,,,,,,,,,,,73.62863595525671,42.02660922057785,,,,,,
1994-09,113.9840893135659,,,,,,,,,,,,40.43093064809965,34.27683779891433,,,,,,
1994-10,45.00576622733244,,,,,,,,,,,,79.5709322089007,25.3314824960847,,,,,,
1994-11,47.40401180773132,,,,,,,,,,,,66.82334371005359,88.43266845227171,,,,,,
1994-12,131.0303982816459,,,,,,,,,,,,121.6335020340301,179.953518186451,,,,,,
1995-01,76.55561959196898,117.7569976347754,,,,,,,,,,,74.08754954324549,118.1087243037949,,,,,,
1995-02,66.75607635163365,136.7639184788082,,,,,,,,,,,119.5956555609573,44.68217585008441,,,,,,
1995-03,109.7504716787445,111.602663261997,,,,,,,,,,,187.5820603483815,43.57499109985755,,,,,,
1995-04,74.10409177950143,104.0305246987704,,,,,,,,,,,110.708061831379,57.00939630464855,,,,,,
1995-05,46.43877666509172,114.6975949242756,,,,,,,,,,,0.0,0.0,,,,,,
1995-06,49.7852183265328,82.17342976541164,,,,,,,,,,,0.0,68.03692422271241,,,,,,
1995-07,53.30309484473223,55.41952405254141,,,,,,,,,,,114.176545151908,40.96296238749805,,,,,,
1995-08,94.3878175113916,112.7634079752198,,,,,,,,,,,147.9315949629563,47.30730853415074,,,,,,
1995-09,75.97887397506227,74.95811619409515,,,,,,,,,,,37.400294536221,87.2826101398926,,,,,,
1995-10,54.2401703636642,101.6983560492638,,,,,,,,,,,0.0,77.4886542654625,,,,,,
1995-11,54.29812157260875,65.28471036327684,,,,,,,,,,,35.8668426303163,120.172234224743,,,,,,
1995-12,125.3301458196393,73.51374863846101,,,,,,,,,,,34.70269472423185,134.4600140523347,,,,,,
1996-01,94.0233545979996,101.0150475005646,,,,,,,,,,,53.84326975198563,73.8936435711719,216.1064250790565,6.86755344934055,,,,
1996-02,54.26952570526006,61.46800317808974,,,,,,,,,,,50.99010632833764,25.09162999996844,0.0,25.01631659413703,,,,
1996-03,38.73481973561786,80.79940835027637,,,,,,,,,,,0.0,17.72799760803579,0.0,164.2985192955995,,,,
1996-04,32.82089211963632,32.55274702265519,,,,,,,,,,,0.0,33.52960487393553,35.86834109732008,41.08170453779135,,,,
1996-05,50.1316772693934,73.51455070913461,,,,,,,,,,,0.0,40.23775978363452,89.29246366936778,119.228409717787,,,,
1996-06,99.4493682629703,63.9377079765643,,,,,,,,,,,0.0,67.93277134527659,133.7321551999082,76.81317091132318,,,,
1996-07,60.06652472456101,31.01529210152843,,,,,,,,,,,52.94047455572493,34.25972221499991,95.34048638512058,23.56833972863898,,,,
1996-08,94.31456923569272,55.47461503713659,,,,,,,,,,,51.70772553203737,161.1435466110499,52.05993437077308,0.0,,,,
1996-09,35.26353440766687,44.56076891287175,,,,,,,,,,,48.81009453603914,60.04717976441722,0.0,72.88429515304945,,,,
1996-10,12.71273240204893,55.9916861995798,,,,,,,,,,,0.0,0.0,151.3804652559832,20.11828218202951,,,,
1996-11,61.97129882011341,45.10341712866499,,,,,,,,,,,107.0311206727319,34.76153409807568,0.0,33.10495457501147,,,,
1996-12,87.03783683427112,55.21658313601579,,,,,,,,,,,107.1024747531803,60.3620641644716,0.0,118.2624598275357,,,,
1997-01,53.72020313199438,18.24567679260669,,,18.32950604768968,13.70339720953299,,17.33741256708819,,,,16.016451628611335,149.2214632386819,45.95905805580183,0.0,0.0,,,,
1997-02,79.55010193982154,55.57812913553981,,,16.48272930689336,54.27563091766881,,3.899168679395781,,,,35.37918011228109,78.7147626834326,83.95559017693257,0.0,26.4383483038268,,,,
1997-03,21.41655330282274,45.65939728807044,,,0.0,13.40495661694787,,27.15148840568961,,,,6.702478308473935,0.0,11.06835815782223,91.725744899906,34.31209459924413,,,,
1997-04,52.34511335216641,77.6409173816176,,,0.0,52.24495912246351,,34.26589264612514,,,,26.122479561231756,0.0,0.0,162.4758384008433,46.37339464177938,,,,
1997-05,59.25409465755109,48.02798661854423,,,15.48175384291198,26.10666805884348,,27.19293950081751,,,,20.79421095087773,0.0,87.15356410328407,96.65738304839344,17.22277770172107,,,,
1997-06,56.84010316610604,50.79985270106419,,,51.38039020128601,58.41661299118455,,11.90720709167506,,,,54.89850159623528,78.32673216316218,65.82317357465507,0.0,103.9179968562806,,,,
1997-07,73.75854476250555,50.6682681701815,,,16.91097047738755,78.96083029420467,,7.102422738846911,,,,47.93590038579611,143.7002062941735,64.14364644223491,85.08225389787333,40.26435778957757,,,,
1997-08,56.85861345455361,43.04351012173166,,,0.0,13.85116004864187,,14.65670126611827,,,,6.925580024320935,0.0,23.55795538731934,50.49078570838085,24.18178856606543,,,,
1997-09,49.86686137856022,65.36476532875773,,,39.75561480649003,60.24218958063059,,8.234407241436609,,,,49.99890219356031,46.31533151024572,22.79122844141071,197.0265593476175,63.6838979169794,,,,
1997-10,142.1189255921739,60.92791498704986,,,57.79492081318189,52.71101584969334,,31.92860665598091,,,,55.252968331437614,140.8637877466289,174.2530804695173,136.3437301211215,5.179071005253074,,,,
1997-11,133.2881736436281,92.4409930851978,,,13.7491890308288,13.16600908366894,,29.86960193197992,,,,13.45759905724887,395.2018884835864,42.60416867603895,187.9583065037027,82.5795505278803,,,,
1997-12,143.6182511624697,72.95733226297898,,,0.0,28.65618271945016,,33.2596839551531,,,,14.32809135972508,159.5920923417166,150.6443189960607,100.1375842537057,56.18810074972392,,,,
1998-01,17.42665839540961,44.99168712275725,,,0.0,35.3480322327894,,5.928306582482079,,0.0,,17.6740161163947,0.0,23.09540888653077,56.57346188520571,48.26452455383828,50.66288452888547,6.74767152973979,,
