year_month,cpu_narrow,cpu_broad,cpu_sentiment
1985-01,35.46986754189647,67.55832221514663,146.6982429132885
1985-02,12.95703327827725,16.96014878949829,98.2490984759793
1985-03,35.61842122547449,61.08541458098598,229.2548635519407
1985-04,59.48534567220221,48.46209528299546,178.4054187347602
1985-05,26.3754565104106,34.62111364528619,90.87904605622629
1985-06,47.98880884131756,62.90431863745125,193.3875934256623
1985-07,20.5813991630228,41.78224165208552,151.5792285324354
1985-08,50.57503185195272,46.82144787746436,196.6691115300177
1985-09,6.830367709213935,32.34419699922763,176.5529384494832
1985-10,36.16061997583508,38.80617708552808,88.00613544362467
1985-11,59.71926564282245,50.98522626345851,149.8091515673838
1985-12,45.67302241077439,79.41200446775537,140.8971524663806
1986-01,49.78405911019944,66.54388339978462,160.8925824114341
1986-02,50.02294701747127,92.89808599415743,90.70969457027324
1986-03,31.02705982232726,59.34298895094816,115.8333102746254
1986-04,55.00245139181323,78.9495241417244,167.4736190419497
1986-05,81.1126954768432,58.55612297115462,139.0974812338083
1986-06,35.5618777662045,44.84519382378947,134.0471199469111
1986-07,18.67637474797563,42.77231590591698,120.5235874066568
1986-08,45.71197431181437,54.2672984419332,86.08809747002769
1986-09,46.45598842175898,54.9405600366031,91.72737910825364
1986-10,40.2027622238688,47.58615976459956,115.4573682905679
1986-11,37.29420071206908,56.48062877666842,87.80776262370918
1986-12,23.37973172341534,27.05969368278355,113.1663189369906
1987-01,14.8354404259587,26.5474213679473,93.04804468554302
1987-02,19.9976900913576,31.02641017232395,102.3688035287696
1987-03,42.83124603705503,57.19421461994501,81.2862433935134
1987-04,33.28435976518052,68.72215995558533,144.825141071926
1987-05,15.79764792351287,37.4224912820287,95.74334133398561
1987-06,69.0395157980754,91.810960742404,53.1044016346685
1987-07,29.49979786018116,49.24995460568267,95.41366130190168
1987-08,53.03207401303703,78.87926991693539,110.6865839315854
1987-09,43.31263442715538,54.576575234815,112.8783212560805
1987-10,29.56305626857874,59.46292182734698,47.24093741348581
1987-11,44.08399627259301,69.5181324515194,80.18436051612298
1987-12,38.1794982308897,67.93597478192733,87.54951554231116
1988-01,65.68817681224964,59.5011010467318,74.03886108280409
1988-02,39.81335997632413,46.95233995244681,68.82243069725507
1988-03,52.23984552287785,49.33279883450959,58.50088782759651
1988-04,41.49108080092698,56.28048698391454,61.81143445487815
1988-05,64.50662595071576,69.65771754358572,64.95569610703751
1988-06,49.12462727674738,59.70531754334269,128.9017127426466
1988-07,88.6974116628794,81.8002446175282,107.6612076583498
1988-08,35.90558415755838,53.30626304365295,200.4429780795468
1988-09,51.0492200459249,82.79439019861687,134.0208620125958
1988-10,58.86802987861233,65.21356425336465,147.5288703072246
1988-11,41.86168675910783,70.4766838559893,35.62511749784812
1988-12,45.3682107984006,66.98166395922856,78.4425469533729
1989-01,77.1385812132835,77.00913893454613,46.08938036338679
1989-02,66.27829118331786,72.85689962987234,119.4975215451441
1989-03,73.40800350134104,96.40968574500687,170.1537112725865
1989-04,80.56676123945645,95.59184713497957,91.89279093238798
1989-05,80.99885986457772,76.19232365679593,143.9050585587746
1989-06,71.06317363691458,84.76317143429101,120.2222171845487
1989-07,58.47161447528884,83.42838378903596,120.3106817970691
1989-08,61.04608532132553,63.58219547586413,133.8192831943833
1989-09,57.54401039880094,68.15982744819794,105.3326457672883
1989-10,26.05330573170767,37.44573981636328,126.002981707731
1989-11,90.83194556003512,92.88364157850644,95.32641138990027
1989-12,45.56474139924333,73.40004344313502,62.30144790276874
1990-01,29.38214731903035,72.14284625036474,84.02366084065147
1990-02,122.804548619275,113.7059111642574,124.897527905151
1990-03,71.22734838774308,103.6602187334716,97.73587981194028
1990-04,99.19044505817791,111.2849680959211,93.6704043512463
1990-05,77.28593004670927,122.0958570160802,88.79252670358446
1990-06,53.24437705220828,74.19536375858141,103.299821435183
1990-07,72.02232413953303,90.85037338039051,103.7149095549987
1990-08,117.886447990595,134.4694957743897,100.8055617866666
1990-09,58.09465989055024,155.8916896462406,105.8705381138464
1990-10,73.00094490341807,99.6447690128698,74.50522311319449
1990-11,66.44534302247959,88.09255880139058,86.90310058431855
1990-12,48.98092943904788,91.35061794630926,65.89071162429197
1991-01,87.69271008224598,146.2287443291401,55.11678084164718
