community_id,n_investors,cluster_label,top_stage,top_sector,top_geo,pct_GREEN_VC,pct_GVC,pct_IVC,avg_deal_size_M,avg_novelty,exit_rate_pct,failure_rate_pct,avg_co_diversity,avg_deals_per_inv,pct_stage_Seed_Angel,pct_stage_Early,pct_stage_Growth,pct_stage_Late,pct_stage_Other,pct_sec_Renew,pct_sec_Battery,pct_sec_Mobility,pct_sec_Carbon,pct_sec_Agri,pct_sec_H2,pct_sec_Circular,pct_sec_Effic,pct_sec_Water,pct_sec_Other,pct_geo_Americas,pct_geo_Europe,pct_geo_Asia,pct_geo_Oceania,pct_geo_Middle_East,pct_geo_Africa,community_name
14,728,Exit-Oriented,Early,Other / Diversified,Europe,42.30769230769231,26.923076923076923,37.362637362637365,76.53868182405783,0.410263693415199,15.937770639006901,2.7840939585445077,21.791208791208792,3.0700549450549453,17.9,51.2,24.0,3.4,3.4,0,0,21.8,0,14.7,0,2.2,0,0,61.3,43.7,51.4,1.6,0.1,3.2,0.0,VC-Driven · Early-Stage · Diversified · [Exit-Active] (EU)
15,392,Mixed Bridge,Early,Other / Diversified,Africa,68.87755102040816,40.05102040816326,21.683673469387756,11.329420893058604,0.4319137291570422,8.346708037751977,2.101149983803045,9.316326530612244,2.951530612244898,32.4,36.2,18.6,0.3,12.5,0,0,8.7,0,17.6,0,2.0,0,0,71.7,10.2,22.4,22.7,5.4,2.0,37.2,Mixed · Early-Stage · Diversified · [Exit-Active] (Global)
16,673,High-Risk Frontier,Early,Other / Diversified,Asia,52.748885586924224,53.64041604754829,11.738484398216938,34.77697153780372,0.4272988530383643,9.575658901985273,2.5531761453009594,18.919762258543834,2.598811292719168,16.8,53.0,25.9,0.9,3.4,0,0,13.5,0,18.6,0,0.3,0,0,67.6,15.0,5.5,78.8,0.0,0.7,0.0,Mixed · Early-Stage · Diversified · [Exit-Active] (Asia)
17,191,Mixed Bridge,Early,Other / Diversified,Europe,59.16230366492147,42.93193717277487,19.895287958115183,40.58881324039436,0.3911031754932524,5.063012200320087,2.877601624857156,11.513089005235603,2.9842931937172774,36.6,46.1,9.4,0.5,7.3,0,0,6.8,0,7.9,0,0.0,0,0,85.3,13.1,85.3,1.6,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (EU)
18,389,High-Risk Frontier,Early,Other / Diversified,Europe,63.75321336760925,51.9280205655527,17.480719794344473,5.658755983771647,0.42350525892922847,7.9702805763217075,9.500654674894808,10.182519280205655,2.948586118251928,31.4,50.1,10.0,1.5,6.9,0,0,9.5,0,20.6,0,4.9,0,0,65.0,10.3,88.2,0.8,0.3,0.5,0.0,Mixed · Early-Stage · Diversified (EU)
19,1570,Mixed Bridge,Early,Other / Diversified,Asia,61.0828025477707,61.71974522292993,7.261146496815287,182.80843609438713,0.38789769912985733,19.94926842338794,2.177204960644451,11.445222929936305,2.564331210191083,19.6,45.9,21.7,6.9,5.8,0,0,24.4,0,3.3,0,0.3,0,0,72.0,2.0,1.3,96.4,0.1,0.3,0.0,Gov-Led · Early-Stage · Diversified · [Exit-Active] (Asia)
20,26,Government-Led,Early,Other / Diversified,Americas,76.92307692307693,73.07692307692307,7.6923076923076925,1.3539285714285714,0.4331041552197802,0.42735042735042733,1.9787402140343315,10.461538461538462,2.9615384615384617,3.8,88.5,0.0,0.0,7.7,0,0,0.0,0,19.2,0,0.0,0,0,80.8,100.0,0.0,0.0,0.0,0.0,0.0,Gov-Led · Early-Stage · Diversified · [Resilient] (US)
21,239,Exit-Oriented,Early,Sustainable Agri,Americas,48.53556485355649,39.74895397489539,16.317991631799163,18.141758423329545,0.4025990717403164,19.319751610546586,14.798764694162184,19.16317991631799,2.3138075313807533,26.4,51.9,17.6,0.0,4.2,0,0,5.9,0,46.9,0,0.4,0,0,46.9,83.3,7.5,8.4,0.8,0.0,0.0,Mixed · Early-Stage · AgriTech · [Exit-Active] (US)
22,9,Unknown,Other,Sustainable Agri,Europe,50.0,0.0,0.0,0.7438888888888889,,0.0,0.0,8.11111111111111,1.1111111111111112,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0,100.0,0,0.0,0,0,0.0,11.1,88.9,0.0,0.0,0.0,0.0,Mixed · Multi-Stage · AgriTech · [Resilient] (EU)
23,232,High-Risk Frontier,Early,Other / Diversified,Americas,53.879310344827594,36.637931034482754,26.72413793103448,18.497178502226458,0.4314200287533554,4.237323978703289,5.084185450564761,13.775862068965518,2.6077586206896552,35.3,40.5,18.1,0.0,6.0,0,0,11.6,0,16.8,0,1.3,0,0,70.3,82.3,14.7,1.3,1.3,0.4,0.0,Mixed · Early-Stage · Diversified (US)
24,358,High-Risk Frontier,Seed/Angel,Other / Diversified,Americas,53.072625698324025,39.94413407821229,22.905027932960895,6.705929680169002,0.43995651295319266,4.392752519118805,6.821442547547721,14.011173184357542,2.2793296089385473,55.3,38.0,3.6,0.0,3.1,0,0,15.6,0,12.0,0,5.0,0,0,67.3,76.8,14.8,3.1,0.0,3.4,2.0,Mixed · Seed · Diversified (US)
25,82,Mixed Bridge,Early,Other / Diversified,Europe,64.63414634146342,51.21951219512195,21.951219512195124,7.4741456172935035,0.4391744419029801,2.3441734417344176,30.721892805942247,15.78048780487805,2.9390243902439024,36.6,51.2,0.0,1.2,11.0,0,0,0.0,0,6.1,0,0.0,0,0,93.9,39.0,61.0,0.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [High-Risk] (EU)
26,181,Mixed Bridge,Early,Other / Diversified,Europe,65.19337016574586,54.14364640883977,15.469613259668508,12.115571234155068,0.4251923762626263,15.00253556463021,1.1505276158170705,8.546961325966851,2.287292817679558,28.2,54.1,12.2,0.0,5.5,0,0,20.4,0,10.5,0,0.0,0,0,69.1,7.2,76.8,12.2,0.0,2.2,1.7,Mixed · Early-Stage · Diversified · [Exit-Active] (EU)
27,84,High-Risk Frontier,Seed/Angel,Other / Diversified,Asia,59.523809523809526,50.0,17.857142857142858,6.406025907220353,0.3779570436507937,0.2976190476190476,15.065192743764172,17.392857142857142,1.869047619047619,45.2,42.9,10.7,0.0,1.2,0,0,2.4,0,8.3,0,1.2,0,0,88.1,26.2,4.8,69.0,0.0,0.0,0.0,Mixed · Seed · Diversified · [High-Risk] (Asia)
28,18,Unknown,Early,Other / Diversified,Americas,50.0,0.0,0.0,3.7097222222222217,0.46392222222222224,48.33333333333333,0.0,8.38888888888889,1.7222222222222223,16.7,83.3,0.0,0.0,0.0,0,0,0.0,0,16.7,0,33.3,0,0,50.0,61.1,0.0,0.0,38.9,0.0,0.0,Mixed · Early-Stage · Diversified · [Exit-Active] (US)
29,61,Exit-Oriented,Early,Other / Diversified,Americas,40.98360655737705,32.78688524590164,24.59016393442623,58.84152222222222,0.42711277777777773,1.366120218579235,1.9281811085089775,18.262295081967213,1.639344262295082,4.9,57.4,19.7,18.0,0.0,0,0,0.0,0,16.4,0,0.0,0,0,83.6,96.7,3.3,0.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (US)
30,49,High-Risk Frontier,Early,Other / Diversified,Europe,65.3061224489796,46.93877551020408,28.57142857142857,5.1086413043478265,0.3821035714285714,2.0408163265306123,0.0,9.83673469387755,1.9795918367346939,40.8,55.1,4.1,0.0,0.0,0,0,0.0,0,26.5,0,16.3,0,0,57.1,0.0,98.0,0.0,2.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (EU)
31,9,Unknown,Early,Other / Diversified,Americas,50.0,0.0,0.0,1.47,0.4409,0.0,0.0,9.0,1.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (US)
32,14,Unknown,Other,Mobility & EV,Americas,50.0,0.0,0.0,274.10809523809525,0.3479690476190476,79.76190476190476,3.571428571428571,10.214285714285714,1.7142857142857142,0.0,0.0,0.0,0.0,100.0,0,0,92.9,0,7.1,0,0.0,0,0,0.0,92.9,7.1,0.0,0.0,0.0,0.0,Mixed · Multi-Stage · Mobility · [Exit-Active] (US)
33,13,Unknown,Seed/Angel,Other / Diversified,Europe,50.0,0.0,0.0,1.106666666666667,0.5157439393939394,0.0,0.0,6.923076923076923,1.3846153846153846,76.9,15.4,0.0,0.0,7.7,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,Mixed · Seed · Diversified · [Resilient] (EU)
34,14,Unknown,Early,Other / Diversified,Americas,50.0,0.0,0.0,15.251071428571425,0.5631,32.142857142857146,0.0,7.285714285714286,1.7142857142857142,14.3,42.9,21.4,0.0,21.4,0,0,0.0,0,0.0,0,0.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Exit-Active] (US)
35,27,Deep Green,Seed/Angel,Other / Diversified,Europe,77.77777777777779,66.66666666666666,7.4074074074074066,29.764814814814812,0.3971574074074074,0.0,0.0,19.62962962962963,1.2592592592592593,88.9,0.0,7.4,0.0,3.7,0,0,0.0,0,3.7,0,0.0,0,0,96.3,0.0,100.0,0.0,0.0,0.0,0.0,Gov-Led · Seed · Diversified · [Resilient] (EU)
36,10,Unknown,Early,Other / Diversified,Asia,50.0,0.0,0.0,2.0985714285714288,0.38878333333333337,0.0,0.0,3.3,1.7,40.0,60.0,0.0,0.0,0.0,0,0,0.0,0,40.0,0,0.0,0,0,60.0,0.0,0.0,100.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (Asia)
37,7,Unknown,Other,Other / Diversified,Europe,50.0,0.0,0.0,0.187,0.43562,0.0,0.0,3.0,4.714285714285714,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0.0,71.4,28.6,0.0,0.0,0.0,Mixed · Multi-Stage · Diversified · [Resilient] (EU)
38,19,Unknown,Other,Other / Diversified,Europe,50.0,0.0,0.0,1.5044736842105264,0.4641,0.0,0.0,18.05263157894737,1.0526315789473684,5.3,0.0,0.0,0.0,94.7,0,0,0.0,0,5.3,0,0.0,0,0,94.7,0.0,100.0,0.0,0.0,0.0,0.0,Mixed · Multi-Stage · Diversified · [Resilient] (EU)
39,10,Unknown,Seed/Angel,Other / Diversified,Asia,50.0,0.0,0.0,16.257500000000004,0.4069,0.0,0.0,6.5,1.1,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,Mixed · Seed · Diversified · [Resilient] (Asia)
40,7,Unknown,Early,Other / Diversified,Asia,50.0,0.0,0.0,,0.4834928571428571,0.0,0.0,6.142857142857143,1.1428571428571428,0.0,85.7,0.0,14.3,0.0,0,0,14.3,0,0.0,0,0.0,0,0,85.7,0.0,0.0,100.0,0.0,0.0,0.0,Mixed · Early-Stage · Diversified · [Resilient] (Asia)
41,11,Unknown,Early,Mobility & EV,Europe,50.0,0.0,0.0,1.1609090909090911,0.45306363636363645,0.0,0.0,6.2727272727272725,1.1818181818181819,9.1,90.9,0.0,0.0,0.0,0,0,90.9,0,9.1,0,0.0,0,0,0.0,9.1,90.9,0.0,0.0,0.0,0.0,Mixed · Early-Stage · Mobility · [Resilient] (EU)
42,10,Unknown,Seed/Angel,Sustainable Agri,Middle East,50.0,0.0,0.0,0.4,0.3136,0.0,0.0,9.1,1.2,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0,100.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Mixed · Seed · AgriTech · [Resilient] (Global)
43,12,Unknown,Seed/Angel,Mobility & EV,Europe,50.0,0.0,0.0,2.7224999999999997,,0.0,0.0,11.416666666666666,1.0833333333333333,91.7,8.3,0.0,0.0,0.0,0,0,100.0,0,0.0,0,0.0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,Mixed · Seed · Mobility · [Resilient] (EU)
44,11,Unknown,Seed/Angel,Other / Diversified,Asia,50.0,0.0,0.0,2.2345454545454544,0.46929999999999994,0.0,0.0,11.0,1.0909090909090908,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,Mixed · Seed · Diversified · [Resilient] (Asia)
45,5,Unknown,Seed/Angel,Other / Diversified,Americas,50.0,0.0,0.0,8.551,0.4727,0.0,0.0,4.2,1.2,100.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,Mixed · Seed · Diversified · [Resilient] (US)
