Company ID,Companies,Business Status,Ownership Status,Success Class,Success Probability,IPO Probability,M&A Probability,Total Raised,outcome,n_investors_matched,pct_green,pct_esg,pct_traditional,pct_gvc,pct_ivc,pct_cvc,pct_impact,green_quartile
596423-80,Planck Technologies,Generating Revenue,Privately Held (backing),,,,,,Active / Private,4,75.0,0.0,25.0,25.0,0.0,0.0,0.0,"Q3
(50-75%)"
519202-27,DMAT,Generating Revenue,Privately Held (backing),Success,67.0,1.0,66.0,4.33,Active / Private,7,57.14285714285714,0.0,42.857142857142854,14.285714285714285,42.857142857142854,0.0,14.285714285714285,"Q2
(25-50%)"
431729-92,reNEW Technologies,Generating Revenue,Privately Held (backing),,,,,,Active / Private,2,100.0,0.0,0.0,50.0,0.0,0.0,0.0,"Q4
(75-100%)"
564267-25,Istya Air,Generating Revenue,Privately Held (backing),,,,,0.59,Active / Private,9,88.88888888888889,0.0,11.11111111111111,77.77777777777779,0.0,0.0,0.0,"Q4
(75-100%)"
708149-80,Solaris Vita,Product Development,Privately Held (backing),,,,,0.17,Active / Private,3,33.33333333333333,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,"Q1
(0-25%)"
491017-51,Green-On,Generating Revenue,Privately Held (backing),,,,,0.29,Active / Private,5,60.0,0.0,40.0,20.0,0.0,0.0,0.0,"Q2
(25-50%)"
452714-41,Opti-Harvest,Generating Revenue,Privately Held (backing),No Exit,28.0,3.0,25.0,18.46,Active / Private,2,50.0,0.0,50.0,0.0,50.0,0.0,0.0,"Q1
(0-25%)"
711614-62,Atmo (Business/Productivity Software),Generating Revenue,Privately Held (backing),,,,,0.01,Active / Private,2,50.0,50.0,0.0,0.0,50.0,0.0,50.0,"Q1
(0-25%)"
509787-73,Genesis Ray Energy,Generating Revenue,Privately Held (backing),No Exit,4.0,1.0,3.0,1.02,Active / Private,3,66.66666666666666,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,"Q2
(25-50%)"
454246-39,yeSeN Sustain,Generating Revenue,Privately Held (backing),,,,,,Active / Private,3,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,"Q4
(75-100%)"
157666-15,NovoMoto,Out of Business,Out of Business,,,,,0.95,Failed,17,70.58823529411765,0.0,29.411764705882355,58.82352941176471,11.76470588235294,0.0,5.88235294117647,"Q3
(50-75%)"
512148-16,Amai (Food Products),Generating Revenue,Privately Held (backing),No Exit,47.0,3.0,44.0,4.92,Active / Private,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"Q1
(0-25%)"
279914-86,Stars Technology Corporation,Generating Revenue,Privately Held (backing),No Exit,8.0,1.0,7.0,0.98,Active / Private,3,66.66666666666666,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,"Q2
(25-50%)"
231096-25,Vector Intel,Out of Business,Out of Business,,,,,5.01,Failed,11,45.45454545454545,0.0,54.54545454545454,36.36363636363637,9.090909090909092,0.0,0.0,"Q1
(0-25%)"
519923-08,AgrivEco,Generating Revenue,Privately Held (backing),,,,,0.03,Active / Private,4,100.0,0.0,0.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
453532-51,CleverSolar,Generating Revenue,Privately Held (backing),No Exit,38.0,1.0,37.0,0.43,Active / Private,9,55.55555555555556,11.11111111111111,33.33333333333333,66.66666666666666,0.0,22.22222222222222,0.0,"Q2
(25-50%)"
548105-59,Geothermal Radar,Generating Revenue,Privately Held (backing),,,,,0.11,Active / Private,3,66.66666666666666,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,"Q2
(25-50%)"
534714-49,SCO2,Generating Revenue,Privately Held (backing),No Exit,18.0,1.0,17.0,0.56,Active / Private,2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,"Q4
(75-100%)"
510378-31,Circular11,Generating Revenue,Privately Held (backing),No Exit,36.0,1.0,35.0,0.55,Active / Private,12,75.0,0.0,25.0,41.66666666666667,16.666666666666664,0.0,8.333333333333332,"Q3
(50-75%)"
536035-60,N&E Innovations,Generating Revenue,Privately Held (backing),,,,,,Active / Private,20,75.0,0.0,25.0,55.00000000000001,10.0,0.0,5.0,"Q3
(50-75%)"
460079-83,Float Foods,Generating Revenue,Privately Held (backing),Success,64.0,1.0,63.0,4.3,Active / Private,12,50.0,8.333333333333332,41.66666666666667,16.666666666666664,33.33333333333333,0.0,0.0,"Q1
(0-25%)"
471939-67,Nude. (Beverages),Generating Revenue,Privately Held (backing),Success,65.0,1.0,64.0,9.96,Active / Private,7,57.14285714285714,14.285714285714285,28.57142857142857,14.285714285714285,42.857142857142854,14.285714285714285,0.0,"Q2
(25-50%)"
434533-96,Mi Terro,Generating Revenue,Privately Held (backing),Success,50.0,1.0,49.0,1.66,Active / Private,27,51.85185185185185,3.7037037037037033,44.44444444444444,18.51851851851852,7.4074074074074066,3.7037037037037033,3.7037037037037033,"Q2
(25-50%)"
278118-91,Safi Organics,Generating Revenue,Privately Held (backing),,,,,,Active / Private,15,66.66666666666666,0.0,33.33333333333333,26.666666666666668,6.666666666666667,0.0,0.0,"Q2
(25-50%)"
493040-89,Peelon,Generating Revenue,Privately Held (backing),Success,80.0,1.0,79.0,1.16,Active / Private,11,63.63636363636363,0.0,36.36363636363637,18.181818181818183,18.181818181818183,0.0,0.0,"Q2
(25-50%)"
434961-55,Renaissance Fiber,Generating Revenue,Privately Held (backing),,,,,2.39,Active / Private,5,80.0,0.0,20.0,60.0,0.0,0.0,20.0,"Q3
(50-75%)"
442467-19,Purespace,Generating Revenue,Privately Held (backing),No Exit,32.0,3.0,29.0,5.98,Active / Private,10,70.0,0.0,30.0,30.0,30.0,0.0,0.0,"Q3
(50-75%)"
435867-58,Singrow,Generating Revenue,Privately Held (backing),Success,52.0,1.0,51.0,5.63,Active / Private,9,77.77777777777779,0.0,22.22222222222222,44.44444444444444,11.11111111111111,11.11111111111111,0.0,"Q3
(50-75%)"
467265-70,Blaer,Generating Revenue,Privately Held (backing),No Exit,21.0,1.0,20.0,0.35,Active / Private,7,0.0,0.0,100.0,14.285714285714285,14.285714285714285,0.0,0.0,"Q1
(0-25%)"
182952-73,Laki Power,Generating Revenue,Privately Held (backing),Success,52.0,1.0,51.0,4.58,Active / Private,9,77.77777777777779,0.0,22.22222222222222,66.66666666666666,11.11111111111111,0.0,0.0,"Q3
(50-75%)"
280154-98,Tebrito,Bankruptcy: Liquidation,Out of Business,,,,,5.31,Failed,7,57.14285714285714,0.0,42.857142857142854,28.57142857142857,14.285714285714285,0.0,14.285714285714285,"Q2
(25-50%)"
226236-79,Gegadyne Energy,Generating Revenue,Privately Held (backing),Success,87.0,27.0,60.0,8.98,Active / Private,6,50.0,0.0,50.0,33.33333333333333,33.33333333333333,0.0,0.0,"Q1
(0-25%)"
435817-27,Cellular Agriculture,Startup,Privately Held (backing),,,,,25.12,Active / Private,5,60.0,0.0,40.0,40.0,20.0,0.0,0.0,"Q2
(25-50%)"
