Investor Type,Participations,Unique_Investors,Unique_Deals,Total_Capital_USD_M,Avg_Deal_Size_USD_M
General,67201,23448,30960,1765615.84,34.901180889126096
Green,5570,940,4673,100876.58,26.01923652308486
