,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model,n,pseudo_r2,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,p,-log2(p)
post_eu_green_deal,,,8.513704358269358,,,,Model 4 — Cox | Model B,32503,,0.2916939523060445,1.338693250956049,0.034261696205450484,0.2245422616941089,0.3588456429179801,1.2517496112893658,1.4316757952170012,0.0,1.6846319782503538e-17,55.72034415588775
post_covid_pandemic,,,20.02724313040368,,,,Model 4 — Cox | Model B,32503,,0.7096881461975,2.0333570496338758,0.03543613774379715,0.6402345924684572,0.7791416999265428,1.8969258316250002,2.1796007109850617,0.0,3.188264955503468e-89,293.9788289178717
post_inflation_reduction_act,,,3.8660377399383785,,,,Model 4 — Cox | Model B,32503,,0.18945728705880555,1.2085935003038346,0.049005545161032324,0.09340818350043106,0.28550639061718003,1.0979097924793322,1.330435577660787,0.0,0.00011061782792362331,13.142128460665226
Pure_Green,,,-1.0171389138075624,,,,Model 4 — Cox | Model C,32503,,-0.03198360801795909,0.9685224579518157,0.03144468035170487,-0.09361404901267492,0.029646832976756736,0.9106341545773465,1.0300906756483321,0.0,0.30908735066548754,1.6939134814728098
Pure_Non_Green,,,0.32520966063021284,,,,Model 4 — Cox | Model C,32503,,0.011661607934925412,1.0117298695734969,0.0358587377519068,-0.058620226589878706,0.08194344245972954,0.9430648521124557,1.0853944208548938,0.0,0.7450223976197616,0.42464429689747474
company_age_z,,,0.1123933312918674,,,,Model 4 — Cox | Model C,32503,,0.0017008968284038329,1.001702344173893,0.015133431929220759,-0.027960084715357363,0.03136187837216503,0.9724271807343204,1.031858843729314,0.0,0.910511542684249,0.13525078831921838
oil_price_z,,,9.118170787070166,,,,Model 4 — Cox | Model C,32503,,0.1304832410312818,1.1393788449191349,0.0143102431483638,0.10243567985047769,0.15853080221208593,1.107866041508649,1.1717880173323532,0.0,7.640294593718725e-20,63.50493363112192
interest_rate_z,,,11.629153152734698,,,,Model 4 — Cox | Model C,32503,,0.19043243350156758,1.2097726307754064,0.016375434307250972,0.15833717202815406,0.2225276949749811,1.171561145768328,1.2492304165767032,0.0,2.929897373565481e-31,101.42892080970752
vix_z,,,5.202299164548395,,,,Model 4 — Cox | Model C,32503,,0.07306874004463523,1.0758044852214024,0.014045470614717758,0.04554012349387278,0.10059735659539769,1.0465929967391998,1.1058312964336485,0.0,1.968380258814494e-07,22.276487711566656
post_paris_agreement,,,16.215446279004524,,,,Model 4 — Cox | Model C,32503,,1.1922527829656429,3.294494635220489,0.07352574591236202,1.04814496904097,1.3363605968903156,2.852355000518777,3.805169728004595,0.0,3.9221823410172936e-59,194.0221009908288
post_trump_election,,,2.5470676063649917,,,,Model 4 — Cox | Model C,32503,,0.08336200686075727,1.086935215341115,0.0327286196300561,0.019215091122136693,0.14750892259937787,1.0194008891193678,1.1589436255732903,0.0,0.010863238520034893,6.524401930067676
post_eu_green_deal,,,6.7573453714107385,,,,Model 4 — Cox | Model C,32503,,0.2369307151291616,1.267353306323181,0.03506269135385296,0.16820910287456586,0.30565232738375736,1.1831839919566964,1.3575102553509562,0.0,1.4054290300626905e-11,36.050198439962124
post_covid_pandemic,,,18.02582202079713,,,,Model 4 — Cox | Model C,32503,,0.6492204343727913,1.9140481211335556,0.03601613472183177,0.5786301074556586,0.719810761289924,1.7835934250997465,2.0540444691367994,0.0,1.2218254819538172e-72,238.88978459771545
post_inflation_reduction_act,,,3.5334988593680494,,,,Model 4 — Cox | Model C,32503,,0.17321269329347028,1.1891189958245465,0.049020163918900655,0.07713493749617516,0.2692904490907654,1.080187824399367,1.3090352939471686,0.0,0.00041009785944365004,11.251744166189344
post_paris_agreement_Pure_Green,,,1.6235017287143334,,,,Model 4 — Cox | Model C,32503,,0.051096099012829216,1.0524240253336934,0.03147277154628761,-0.010589399711551484,0.11278159773720992,0.9894664705966597,1.1193874295019628,0.0,0.10448219411551223,3.2586709961222775
post_trump_election_Pure_Green,,,0.2374981480215323,,,,Model 4 — Cox | Model C,32503,,0.009379003983506964,1.0094231246695224,0.039490851030369443,-0.06802164175485363,0.08677964972186757,0.9342402547598612,1.0906563268133753,0.0,0.8122703557742793,0.29996810144602026
post_eu_green_deal_Pure_Green,,,4.244029744501245,,,,Model 4 — Cox | Model C,32503,,0.17472307087865233,1.190916371518247,0.04116914380843616,0.0940330317397673,0.25541311001753736,1.0985960338561434,1.2909948336259016,0.0,2.1954123276943358e-05,15.4751485518722
